Profit Ratio,Category,City,Country/Region,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Manufacturer,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
48%,Office Supplies,Rancho Cucamonga,United States,Delfina Latchford,0%,1,1/3/2019,US-2019-114034,91730,Xerox,Xerox 1905,$19,6,West,$39,Consumer,1/8/2019,Standard Class,California,Paper
49%,Office Supplies,San Bernardino,United States,Berenike Kampe,0%,1,3/19/2017,CA-2017-113110,92404,Wirebound,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",$20,6,West,$40,Consumer,3/23/2017,Standard Class,California,Paper
49%,Office Supplies,San Francisco,United States,Paul Gonzalez,0%,1,11/3/2019,CA-2019-148320,94109,Xerox,Xerox 1992,$18,6,West,$36,Consumer,11/8/2019,Standard Class,California,Paper
45%,Office Supplies,San Francisco,United States,Cindy Stewart,0%,1,5/12/2017,CA-2017-159380,94122,Xerox,Xerox 1953,$12,6,West,$26,Consumer,5/16/2017,Standard Class,California,Paper
48%,Office Supplies,San Francisco,United States,Emily Phan,0%,1,12/13/2019,CA-2019-122770,94122,Xerox,Xerox 1996,$19,6,West,$39,Consumer,12/18/2019,Standard Class,California,Paper
48%,Office Supplies,Las Vegas,United States,Ionia McGrath,0%,1,1/23/2016,CA-2016-102645,89115,Xerox,Xerox 195,$19,6,West,$40,Consumer,1/28/2016,Standard Class,Nevada,Paper
49%,Office Supplies,Seattle,United States,Maxwell Schwartz,0%,1,8/23/2018,CA-2018-150350,98105,Xerox,Xerox 1978,$17,6,West,$35,Consumer,8/30/2018,Standard Class,Washington,Paper
4%,Office Supplies,Pasco,United States,Marc Crier,0%,1,9/8/2016,CA-2016-107818,99301,Carina,Carina Double Wide Media Storage Towers in Natural & Black,$19,6,West,$486,Consumer,9/14/2016,Standard Class,Washington,Storage
0%,Office Supplies,Seattle,United States,Alan Hwang,0%,1,12/24/2019,CA-2019-147956,98105,Office Impressions,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,$0,6,West,"$1,004",Consumer,12/31/2019,Standard Class,Washington,Storage
24%,Office Supplies,Seattle,United States,Chad Sievert,0%,1,9/21/2017,CA-2017-102036,98105,Fellowes,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,$48,6,West,$200,Consumer,9/27/2017,Standard Class,Washington,Storage
27%,Office Supplies,San Jose,United States,Greg Matthias,0%,1,5/10/2016,CA-2016-103310,95123,Acme,Acme Design Stainless Steel Bent Scissors,$11,6,West,$41,Consumer,5/15/2016,Standard Class,California,Supplies
33%,Office Supplies,San Francisco,United States,Raymond Buch,0%,1,7/14/2018,CA-2018-109953,94122,Holmes,Holmes 99% HEPA Air Purifier,$50,7,West,$152,Consumer,7/18/2018,Standard Class,California,Appliances
28%,Office Supplies,Santa Barbara,United States,Becky Martin,0%,1,2/26/2019,CA-2019-121706,93101,Tripp Lite,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,$100,7,West,$357,Consumer,3/2/2019,Standard Class,California,Appliances
28%,Office Supplies,Los Angeles,United States,Lena Radford,0%,1,9/2/2018,CA-2018-126732,90036,Other,Blackstonian Pencils,$5,7,West,$19,Consumer,9/6/2018,Standard Class,California,Art
34%,Office Supplies,Pasadena,United States,Luke Weiss,0%,1,4/11/2019,CA-2019-166128,91104,Dixon,"Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color",$14,7,West,$42,Consumer,4/18/2019,Standard Class,California,Art
29%,Office Supplies,San Francisco,United States,Mike Kennedy,0%,1,5/3/2019,CA-2019-163209,94122,Newell,Newell 350,$7,7,West,$23,Consumer,5/7/2019,Standard Class,California,Art
47%,Office Supplies,San Jose,United States,Sean Christensen,0%,1,12/24/2018,CA-2018-101651,95123,Staple envelope,Staple envelope,$19,7,West,$40,Consumer,12/30/2018,Standard Class,California,Envelopes
33%,Office Supplies,Los Angeles,United States,Xylona Preis,0%,1,11/3/2018,CA-2018-109365,90049,Stockwell,Stockwell Push Pins,$5,7,West,$15,Consumer,11/8/2018,Standard Class,California,Fasteners
48%,Office Supplies,Los Angeles,United States,Arthur Gainer,0%,1,12/27/2017,CA-2017-148376,90008,Avery,Avery 497,$10,7,West,$22,Consumer,12/31/2017,Standard Class,California,Labels
47%,Office Supplies,Los Angeles,United States,Rob Dowd,0%,1,2/16/2017,CA-2017-121776,90008,Avery,Avery 485,$41,7,West,$88,Consumer,2/21/2017,Standard Class,California,Labels
48%,Office Supplies,Los Angeles,United States,Clay Cheatham,0%,1,12/1/2019,CA-2019-118542,90008,Xerox,Xerox 1905,$22,7,West,$45,Consumer,12/5/2019,Standard Class,California,Paper
45%,Office Supplies,San Bernardino,United States,Keith Herrera,0%,1,11/13/2017,CA-2017-104948,92404,Xerox,Xerox 1900,$13,7,West,$30,Consumer,11/17/2017,Standard Class,California,Paper
50%,Office Supplies,San Francisco,United States,Doug Bickford,0%,1,9/21/2019,CA-2019-133074,94109,Adams,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",$28,7,West,$56,Consumer,9/25/2019,Standard Class,California,Paper
49%,Office Supplies,San Francisco,United States,Mike Kennedy,0%,1,12/2/2018,US-2018-108455,94122,HP,HP Office Recycled Paper (20Lb. and 87 Bright),$20,7,West,$40,Consumer,12/8/2018,Standard Class,California,Paper
48%,Office Supplies,Santa Ana,United States,Stewart Visinsky,0%,1,5/26/2018,CA-2018-148852,92704,Xerox,Xerox 1946,$22,7,West,$45,Consumer,5/31/2018,Standard Class,California,Paper
46%,Office Supplies,Stockton,United States,Scot Wooten,0%,1,9/19/2018,CA-2018-130267,95207,Xerox,"Xerox Color Copier Paper, 11"" x 17"", Ream",$74,7,West,$160,Consumer,9/23/2018,Standard Class,California,Paper
46%,Office Supplies,Seattle,United States,Toby Ritter,0%,1,9/8/2018,CA-2018-110009,98103,Ampad,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",$14,7,West,$31,Consumer,9/13/2018,Standard Class,Washington,Paper
47%,Office Supplies,Seattle,United States,Greg Tran,0%,1,12/6/2018,US-2018-169040,98105,Xerox,Xerox 1880,$117,7,West,$248,Consumer,12/12/2018,Standard Class,Washington,Paper
45%,Office Supplies,Seattle,United States,Sean O'Donnell,0%,1,12/1/2019,CA-2019-166926,98105,Xerox,Xerox 1947,$19,7,West,$42,Consumer,12/8/2019,Standard Class,Washington,Paper
2%,Office Supplies,Fresno,United States,Jay Kimmel,0%,1,11/16/2019,CA-2019-100601,93727,Eldon,Eldon Shelf Savers Cubes and Bins,$1,7,West,$49,Consumer,11/20/2019,Standard Class,California,Storage
12%,Office Supplies,Los Angeles,United States,Toby Swindell,0%,1,11/24/2017,CA-2017-153416,90036,Fellowes,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,$55,7,West,$455,Consumer,11/29/2017,Standard Class,California,Storage
28%,Office Supplies,Los Angeles,United States,Sarah Brown,0%,1,5/22/2017,CA-2017-149846,90045,Other,Pizazz Global Quick File,$29,7,West,$105,Consumer,5/26/2017,Standard Class,California,Storage
7%,Office Supplies,San Diego,United States,Brian Stugart,0%,1,11/17/2017,CA-2017-126725,92105,Fellowes,Fellowes Recycled Storage Drawers,$54,7,West,$777,Consumer,11/21/2017,Standard Class,California,Storage
28%,Office Supplies,Great Falls,United States,Michelle Moray,0%,1,4/11/2016,CA-2016-110555,59405,Eldon,Eldon Simplefile Box Office,$24,7,West,$87,Consumer,4/18/2016,Standard Class,Montana,Storage
29%,Office Supplies,Lodi,United States,Joe Kamberova,0%,1,9/29/2019,CA-2019-137918,95240,Acme,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",$28,7,West,$97,Consumer,10/6/2019,Standard Class,California,Supplies
29%,Office Supplies,Los Angeles,United States,Joe Elijah,0%,1,11/14/2019,CA-2019-124261,90049,Newell,Newell 347,$10,8,West,$34,Consumer,11/19/2019,Standard Class,California,Art
27%,Office Supplies,Morgan Hill,United States,Roger Demir,0%,1,12/3/2018,CA-2018-149762,95037,Rogers,Rogers Handheld Barrel Pencil Sharpener,$6,8,West,$22,Consumer,12/7/2018,Standard Class,California,Art
30%,Office Supplies,Pasco,United States,Marc Crier,0%,1,9/8/2016,CA-2016-107818,99301,Hunt,"Hunt PowerHouse Electric Pencil Sharpener, Blue",$91,8,West,$304,Consumer,9/14/2016,Standard Class,Washington,Art
48%,Office Supplies,San Francisco,United States,Caroline Jumper,0%,1,1/26/2019,CA-2019-150469,94109,OIC,Binder Clips by OIC,$6,8,West,$12,Consumer,1/30/2019,Standard Class,California,Fasteners
49%,Office Supplies,Los Angeles,United States,Pamela Stobb,0%,1,4/17/2019,CA-2019-128965,90008,Avery,Avery 474,$11,8,West,$23,Consumer,4/22/2019,Standard Class,California,Labels
46%,Office Supplies,San Diego,United States,Ruben Dartt,0%,1,11/10/2016,CA-2016-158372,92037,Avery,Avery White Multi-Purpose Labels,$18,8,West,$40,Consumer,11/16/2016,Standard Class,California,Labels
49%,Office Supplies,Kent,United States,Jenna Caffey,0%,1,7/8/2019,CA-2019-108560,98031,Other,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",$385,8,West,$786,Consumer,7/15/2019,Standard Class,Washington,Labels
46%,Office Supplies,Los Angeles,United States,Clay Ludtke,0%,1,5/28/2018,CA-2018-134803,90004,Xerox,Xerox 1991,$84,8,West,$183,Consumer,6/3/2018,Standard Class,California,Paper
46%,Office Supplies,Los Angeles,United States,Duane Benoit,0%,1,9/23/2019,CA-2019-121853,90036,Xerox,Xerox 1909,$97,8,West,$211,Consumer,9/29/2019,Standard Class,California,Paper
45%,Office Supplies,San Diego,United States,Ruben Dartt,0%,1,11/10/2016,CA-2016-158372,92037,Southworth,"Southworth 100% Résumé Paper, 24lb.",$28,8,West,$62,Consumer,11/16/2016,Standard Class,California,Paper
45%,Office Supplies,Visalia,United States,Liz Preis,0%,1,9/8/2018,CA-2018-103709,93277,Xerox,Xerox 1900,$15,8,West,$34,Consumer,9/15/2018,Standard Class,California,Paper
48%,Office Supplies,Renton,United States,Chloris Kastensmidt,0%,1,11/21/2019,CA-2019-110443,98059,Xerox,Xerox 209,$25,8,West,$52,Consumer,11/25/2019,Standard Class,Washington,Paper
3%,Office Supplies,San Diego,United States,Scott Williamson,0%,1,11/16/2019,CA-2019-137022,92105,Tennsco,Tennsco Regal Shelving Units,$24,8,West,$811,Consumer,11/22/2019,Standard Class,California,Storage
28%,Office Supplies,Los Angeles,United States,Maribeth Schnelling,0%,1,11/26/2018,CA-2018-107104,90045,Newell,Newell 31,$10,9,West,$37,Consumer,11/30/2018,Standard Class,California,Art
45%,Office Supplies,Los Angeles,United States,Rob Lucas,0%,1,12/5/2016,CA-2016-133830,90045,Prang,Prang Colored Pencils,$12,9,West,$26,Consumer,12/10/2016,Standard Class,California,Art
27%,Office Supplies,Redlands,United States,Steven Cartwright,0%,1,9/11/2017,CA-2017-165057,92374,Boston,Boston 19500 Mighty Mite Electric Pencil Sharpener,$49,9,West,$181,Consumer,9/15/2017,Standard Class,California,Art
28%,Office Supplies,San Diego,United States,Naresj Patel,0%,1,12/6/2017,CA-2017-143490,92105,Stanley,Stanley Contemporary Battery Pencil Sharpeners,$34,9,West,$120,Consumer,12/13/2017,Standard Class,California,Art
49%,Office Supplies,Los Angeles,United States,Darren Powers,0%,1,11/24/2017,CA-2017-105347,90004,Xerox,Xerox 1919,$181,9,West,$369,Consumer,11/28/2017,Standard Class,California,Paper
45%,Office Supplies,Los Angeles,United States,Susan Pistek,0%,1,11/22/2016,CA-2016-135090,90036,Xerox,Xerox 1895,$24,9,West,$54,Consumer,11/26/2016,Standard Class,California,Paper
45%,Office Supplies,San Francisco,United States,Herbert Flentye,0%,1,9/21/2016,CA-2016-153969,94109,Xerox 1971,Xerox 1971,$17,9,West,$39,Consumer,9/25/2016,Standard Class,California,Paper
3%,Office Supplies,Anaheim,United States,Maribeth Dona,0%,1,12/28/2016,CA-2016-143371,92804,Carina,"Carina Mini System Audio Rack, Model AR050B",$30,9,West,$999,Consumer,1/3/2017,Standard Class,California,Storage
4%,Office Supplies,Los Angeles,United States,Cassandra Brandow,0%,1,8/28/2017,CA-2017-121188,90049,Carina,Carina Double Wide Media Storage Towers in Natural & Black,$29,9,West,$729,Consumer,9/4/2017,Standard Class,California,Storage
25%,Office Supplies,Los Angeles,United States,Mick Crebagga,0%,1,11/19/2019,CA-2019-126242,90049,Other,"File Shuttle II and Handi-File, Black",$76,9,West,$305,Consumer,11/24/2019,Standard Class,California,Storage
4%,Office Supplies,San Francisco,United States,Brian Thompson,0%,1,4/10/2018,CA-2018-123358,94122,Rogers,Rogers Profile Extra Capacity Storage Tub,$6,9,West,$151,Consumer,4/17/2018,Standard Class,California,Storage
42%,Office Supplies,San Francisco,United States,Rick Duston,0%,1,9/15/2019,US-2019-116652,94122,Other,Peel-Off China Markers,$42,10,West,$99,Consumer,9/19/2019,Standard Class,California,Art
1%,Office Supplies,Marysville,United States,Mick Crebagga,0%,1,10/7/2018,CA-2018-139808,98270,Alliance,"Alliance Super-Size Bands, Assorted Sizes",$1,12,West,$93,Consumer,10/11/2018,Standard Class,Washington,Fasteners
30%,Office Supplies,San Francisco,United States,Jamie Kunitz,0%,1,10/30/2019,CA-2019-123491,94122,Acco,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",$511,14,West,"$1,702",Consumer,11/5/2019,Standard Class,California,Appliances
8%,Office Supplies,Springfield,United States,Theone Pippenger,20%,1,4/14/2017,CA-2017-116841,97477,Acco,Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,$3,1,West,$35,Consumer,4/18/2017,Standard Class,Oregon,Appliances
11%,Office Supplies,Phoenix,United States,John Murray,20%,1,8/16/2017,US-2017-128090,85023,Newell,Newell 346,$0,1,West,$2,Consumer,8/22/2017,Standard Class,Arizona,Art
35%,Office Supplies,Los Angeles,United States,Beth Paige,20%,1,4/12/2018,CA-2018-142398,90036,Other,JM Magazine Binder,$5,1,West,$13,Consumer,4/16/2018,Standard Class,California,Binders
35%,Office Supplies,Los Angeles,United States,Lena Radford,20%,1,9/2/2018,CA-2018-126732,90036,Other,SpineVue Locking Slant-D Ring Binders by Cardinal,$3,1,West,$7,Consumer,9/6/2018,Standard Class,California,Binders
36%,Office Supplies,San Francisco,United States,Patrick O'Brill,20%,1,5/1/2017,CA-2017-104486,94109,GBC,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",$4,1,West,$12,Consumer,5/6/2017,Standard Class,California,Binders
31%,Office Supplies,San Francisco,United States,Rick Duston,20%,1,9/15/2019,US-2019-116652,94122,Cardinal,Cardinal Poly Pocket Divider Pockets for Ring Binders,$1,1,West,$3,Consumer,9/19/2019,Standard Class,California,Binders
35%,Office Supplies,Lewiston,United States,Sanjit Engle,20%,1,4/11/2016,US-2016-121734,83501,GBC,GBC Personal VeloBind Strips,$3,1,West,$10,Consumer,4/16/2016,Standard Class,Idaho,Binders
35%,Office Supplies,Pasco,United States,Michael Chen,20%,1,11/10/2019,US-2019-128447,99301,GBC,GBC VeloBinder Manual Binding System,$10,1,West,$29,Consumer,11/17/2019,Standard Class,Washington,Binders
35%,Office Supplies,Bullhead City,United States,Gary Zandusky,20%,1,12/20/2017,CA-2017-154795,86442,Other,#6 3/4 Gummed Flap White Envelopes,$3,1,West,$8,Consumer,12/24/2017,Standard Class,Arizona,Envelopes
34%,Office Supplies,Aurora,United States,Zuschuss Carroll,20%,1,9/28/2017,CA-2017-106978,80013,Other,"#10 White Business Envelopes,4 1/8 x 9 1/2",$4,1,West,$13,Consumer,10/4/2017,Standard Class,Colorado,Envelopes
31%,Office Supplies,Louisville,United States,Sung Chung,20%,1,8/21/2019,CA-2019-117646,80027,Southworth,Southworth 25% Cotton Antique Laid Paper & Envelopes,$2,1,West,$7,Consumer,8/25/2019,Standard Class,Colorado,Paper
31%,Office Supplies,Medford,United States,Carol Darley,20%,1,11/24/2018,CA-2018-100083,97504,Other,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",$8,1,West,$25,Consumer,11/29/2018,Standard Class,Oregon,Paper
8%,Office Supplies,Glendale,United States,Thea Hendricks,20%,1,4/13/2017,CA-2017-133837,85301,Other,"Neat Ideas Personal Hanging Folder Files, Black",$1,1,West,$11,Consumer,4/18/2017,Standard Class,Arizona,Storage
8%,Office Supplies,Tempe,United States,Jeremy Farry,20%,1,8/31/2019,CA-2019-159884,85281,Other,"Neat Ideas Personal Hanging Folder Files, Black",$1,1,West,$11,Consumer,9/5/2019,Standard Class,Arizona,Storage
8%,Office Supplies,Denver,United States,Arthur Prichep,20%,1,8/23/2016,CA-2016-124737,80219,Acme,Acme Titanium Bonded Scissors,$1,1,West,$7,Consumer,8/27/2016,Standard Class,Colorado,Supplies
20%,Office Supplies,Chandler,United States,Ashley Jarboe,20%,1,10/6/2019,CA-2019-137421,85224,Avery,Avery Hi-Liter Smear-Safe Highlighters,$2,2,West,$9,Consumer,10/11/2019,Standard Class,Arizona,Art
11%,Office Supplies,Salem,United States,Allen Armold,20%,1,5/8/2017,CA-2017-109939,97301,Newell,Newell 321,$1,2,West,$5,Consumer,5/12/2017,Standard Class,Oregon,Art
9%,Office Supplies,Springfield,United States,Joseph Airdo,20%,1,9/17/2016,CA-2016-131947,97477,Newell,Newell 313,$0,2,West,$5,Consumer,9/22/2016,Standard Class,Oregon,Art
31%,Office Supplies,Los Angeles,United States,Ralph Arnett,20%,1,9/4/2019,CA-2019-141929,90004,Ibico,Ibico Hi-Tech Manual Binding System,$152,2,West,$488,Consumer,9/8/2019,Standard Class,California,Binders
36%,Office Supplies,Los Angeles,United States,Clay Cheatham,20%,1,12/1/2019,CA-2019-118542,90008,Cardinal,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",$4,2,West,$10,Consumer,12/5/2019,Standard Class,California,Binders
31%,Office Supplies,Los Angeles,United States,Toby Swindell,20%,1,11/24/2017,CA-2017-153416,90036,Avery,Avery Reinforcements for Hole-Punch Pages,$1,2,West,$3,Consumer,11/29/2017,Standard Class,California,Binders
33%,Office Supplies,Los Angeles,United States,Tim Brockman,20%,1,10/7/2018,CA-2018-162614,90049,GBC,GBC Recycled VeloBinder Covers,$9,2,West,$27,Consumer,10/13/2018,Standard Class,California,Binders
33%,Office Supplies,Los Angeles,United States,Xylona Preis,20%,1,11/3/2018,CA-2018-109365,90049,Fellowes,Fellowes Black Plastic Comb Bindings,$3,2,West,$9,Consumer,11/8/2018,Standard Class,California,Binders
36%,Office Supplies,San Bernardino,United States,Berenike Kampe,20%,1,3/19/2017,CA-2017-113110,92404,GBC,GBC Imprintable Covers,$6,2,West,$18,Consumer,3/23/2017,Standard Class,California,Binders
35%,Office Supplies,San Bernardino,United States,Keith Herrera,20%,1,11/13/2017,CA-2017-104948,92404,Universal,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",$3,2,West,$10,Consumer,11/17/2017,Standard Class,California,Binders
33%,Office Supplies,San Bernardino,United States,Mike Vittorini,20%,1,7/10/2017,CA-2017-107020,92404,Other,Large Capacity Hanging Post Binders,$13,2,West,$40,Consumer,7/14/2017,Standard Class,California,Binders
34%,Office Supplies,San Diego,United States,Jay Kimmel,20%,1,8/7/2019,US-2019-155999,92105,Avery,Avery Printable Repositionable Plastic Tabs,$5,2,West,$14,Consumer,8/13/2019,Standard Class,California,Binders
34%,Office Supplies,San Diego,United States,Rick Duston,20%,1,12/14/2017,CA-2017-146696,92105,Wilson Jones,Wilson Jones Standard D-Ring Binders,$3,2,West,$8,Consumer,12/19/2017,Standard Class,California,Binders
35%,Office Supplies,San Francisco,United States,Toby Swindell,20%,1,9/8/2016,CA-2016-140032,94109,Acco,"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",$3,2,West,$9,Consumer,9/13/2016,Standard Class,California,Binders
38%,Office Supplies,San Francisco,United States,Alex Avila,20%,1,3/31/2016,CA-2016-128055,94122,GBC,GBC DocuBind 200 Manual Binding Machine,$253,2,West,$674,Consumer,4/5/2016,Standard Class,California,Binders
34%,Office Supplies,San Francisco,United States,Jeremy Farry,20%,1,1/30/2018,CA-2018-164483,94122,Other,Heavy-Duty E-Z-D Binders,$6,2,West,$17,Consumer,2/3/2018,Standard Class,California,Binders
35%,Office Supplies,San Francisco,United States,Lisa DeCherney,20%,1,11/7/2018,CA-2018-116379,94122,GBC,GBC VeloBinder Manual Binding System,$20,2,West,$58,Consumer,11/12/2018,Standard Class,California,Binders
33%,Office Supplies,San Jose,United States,Eugene Barchas,20%,1,9/11/2018,CA-2018-116561,95123,GBC,GBC Standard Therm-A-Bind Covers,$13,2,West,$40,Consumer,9/17/2018,Standard Class,California,Binders
33%,Office Supplies,Vallejo,United States,David Flashing,20%,1,10/4/2016,CA-2016-153479,94591,GBC,GBC Recycled Regency Composition Covers,$31,2,West,$96,Consumer,10/8/2016,Standard Class,California,Binders
